array('d', [0.3060873155794109, 0.04055003460373368, 0.00028401585784377517]) ; (0.06238821862816931, 0.009329342070646363, 0.13636363636363635, 0.15384615384615385, 0.25491862703432416, 6.805909700261293e-07, 0.17110860421488197, 0.0001288777299781962, 0.5177317435435053, 0.013990773543177607)
array('d', [0.3972499885589442, 0.7051550516378857, 0.0008884798083079974]) ; (0.028460008550430533, 0.014721420719302547, 0.9, 0.8965517241379309, 1.0, 1.6899155031686444e-06, 0.004185292140543537, 0.00010926962926033911, 0.09262759924385634, 0.004189590473716012)
array('d', [0.5674755609997958, 0.14012860262967192, 0.0005030613879392495]) ; (0.057350171840333024, 0.012423477473501851, 0.16176470588235295, 0.17910447761194026, 0.2892427689307767, 2.640492973701007e-06, 0.10944697160783334, 0.00015424675760391819, 0.12666439696358617, 0.0150703030874934)
array('d', [0.6018619861114904, 0.08983990116067166, 0.0005832126593254929]) ; (0.06208832007714958, 0.011603394462170404, 0.08064516129032258, 0.09836065573770493, 0.16459588510287243, 8.555822203542434e-07, 0.20076570344675151, 0.00030396168446411673, 0.6031009506564057, 0.015321713030229736)
array('d', [0.7300563120182971, 0.14912565539490233, 0.00022486335508161933]) ; (0.05953807676132378, 0.012992532344919993, 0.109375, 0.12698412698412698, 0.2121196970075748, 2.030523472557295e-06, 0.16440508447961058, 0.0002620227101764037, 0.303884559409478, 0.015688500941371288)
array('d', [0.7580394343749339, 0.20307348773456535, 0.00048161874499218216]) ; (0.025051835397220265, 0.011335306208854607, 0.9, 0.8965517241379309, 1.0, 5.624718760546523e-07, 0.058548199040648584, 0.00010207024160974187, 0.136578449905482, 0.004149504855178281)
array('d', [0.6018619861114904, 0.08983990116067166, 0.0005901177095374767]) ; (0.06208818746360569, 0.011603352464497287, 0.08064516129032258, 0.09836065573770493, 0.16459588510287243, 8.555822203542434e-07, 0.20074410343147167, 0.0003039642689932658, 0.6001004530676534, 0.015322162126600205)
array('d', [0.7723699479694436, 0.3818198868665991, 0.0008755429214691306]) ; (0.026156852878482184, 0.01265062617721091, 0.9, 0.8965517241379309, 1.0, 2.480500973401017e-06, 0.05100489408009499, 8.7998353757565e-05, 0.017013232514177693, 0.00424807047946378)
array('d', [0.7857363999602777, 0.29638323672686484, 0.0001326379075638369]) ; (0.02581160712611749, 0.01221846414482662, 0.9, 0.8965517241379309, 1.0, 1.7555372220416872e-06, 0.05520334000669711, 8.145341935613289e-05, 0.04725897920604915, 0.004230215403723616)
array('d', [0.5577729072040267, 0.1451014758803064, 0.0009379340138492625]) ; (0.01648324044615889, 0.011296747587042417, 0.017857142857142856, 0.0, 0.020399490012749683, 4.899755009187194e-07, 0.15735617207555494, 0.00035257260777915155, 0.20877024590262705, 0.009228276024909682)
